Station;Komponente;Datum;Wert01;Wert02;Wert03;Wert04;Wert05;Wert06;Wert07;Wert08;Wert09;Wert10;Wert11;Wert12;Wert13;Wert14;Wert15;Wert16;Wert17;Wert18;Wert19;Wert20;Wert21;Wert22;Wert23;Wert24
'Amstetten';'PM10';'20240624';13.29303169;13.83181858;14.23210526;14.65324020;16.94785309;19.60354805;18.72299957;14.31079292;15.90070915;14.53108215;10.35276985;10.55671692;9.47431374;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Bad Vöslau';'PM10';'20240624';9.95944595;10.22264099;10.65552998;11.41222954;12.07973671;11.73246002;10.38259506;12.26774406;10.92999458;9.76950741;8.88634109;9.65318489;9.38399124;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Biedermannsdorf';'PM10';'20240624';10.25105667;10.61797714;10.87231636;11.16891861;11.66000938;12.29269981;11.46057034;11.89659882;11.34694481;12.28678226;14.20582199;8.99610233;8.66472435;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Gänserndorf';'PM10';'20240624';10.51119328;10.58577538;10.67633915;11.45549870;11.60196877;11.60015774;11.47977066;17.20666122;10.92806244;10.60735035;8.96458721;8.68955803;11.76642990;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Hainburg';'PM10';'20240624';13.28719616;14.11695004;16.08795166;17.19965744;17.93293190;15.15680885;15.03146935;16.25221252;14.82599449;9.95449638;9.96065331;7.96022797;8.35101509;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Heidenreichstein';'PM10';'20240624';10.76690197;12.46134663;14.64945698;15.22414684;15.70722771;17.84196472;14.35840988;13.42943954;11.52762699;7.39962673;6.67403984;7.26982021;7.30057144;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Himberg';'PM10';'20240624';10.51404953;10.45697975;11.23840046;12.51150036;14.58796978;15.49230957;11.11899185;9.35860252;11.92763138;13.48169041;13.38510990;11.37887955;9.87574387;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'KlosterneuburgB14';'PM10';'20240624';9.90510941;10.10253525;10.06936932;10.79081059;11.42350006;12.49809456;12.65229225;13.99974251;12.48746872;10.41624355;9.01534271;9.75650597;8.16473961;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Krems';'PM10';'20240624';9.87310982;10.80817986;10.14967918;8.09208679;6.64558220;14.74820518;15.85799694;11.66554737;13.77143097;13.99532032;15.20696068;12.31834030;10.02676010;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Mistelbach';'PM10';'20240624';11.24523354;11.79359913;12.18044281;13.01027679;12.94152927;13.60408401;13.24674416;11.35149288;10.02766991;9.34740448;10.06981277;12.22616577;11.00079536;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Mödling';'PM10';'20240624';9.79506493;9.88450050;10.24775696;12.68111038;11.06354427;10.97394753;10.76283646;10.22517681;9.99506760;9.86952782;9.70426178;9.00628662;8.97835255;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Schwechat';'PM10';'20240624';9.44066429;9.59965229;10.60722923;11.97395897;12.39823437;12.71568584;12.79586411;15.08653259;12.52172184;11.37926579;9.97820282;8.54622841;8.33801460;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'St. Pölten';'PM10';'20240624';12.71922779;13.31013870;14.59588432;14.33248901;13.84824085;13.92294502;13.86715889;13.91388893;11.97738075;11.17668724;11.74892235;9.93328285;9.05953693;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'St.Pölten-Verkehr';'PM10';'20240624';14.76630306;14.39040756;15.87039948;17.86543274;18.27014732;20.71030426;21.41568375;17.08236694;15.34541988;16.90076065;19.09160805;12.93223095;28.64325714;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Stockerau';'PM10';'20240624';12.65198040;12.16908073;11.64228058;14.35091019;12.72221947;15.18501091;20.52764130;20.30814171;16.43177032;10.47454071;9.88628006;10.93548965;12.06372070;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Trasdorf';'PM10';'20240624';11.49365616;12.99176216;17.00830841;17.13066864;16.73259735;15.80080795;13.20508575;14.12278557;12.76716518;10.79129410;12.31998825;8.20076370;12.09607792;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Tulln';'PM10';'20240624';12.88308620;13.88772583;16.69636917;18.71933746;18.92662430;18.73664284;14.04631042;13.47073746;12.41457558;10.30459023;9.17231750;8.38208961;8.21537304;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Wiener Neudorf';'PM10';'20240624';8.74723625;9.02987289;9.34350014;9.86944771;10.21257877;10.81234360;10.65552998;10.89602470;10.44812202;10.20030212;10.36025620;8.00820732;8.11454773;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Wiener Neustadt';'PM10';'20240624';10.06296921;10.46369839;10.88777161;12.20463181;14.01576233;14.78192043;12.90123940;16.42717743;12.54675674;15.02603626;13.35618401;11.93101311;11.80233383;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
'Ziersdorf';'PM10';'20240624';8.42052841;9.49653149;11.35833549;11.89233208;15.52155399;13.20625305;10.78960228;9.14269352;8.42258072;7.46092749;6.22802973;6.23454952;5.70803547;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
